id,family,model,dataset,depth,metric,comparison,brief,baseline,delta,n,brief_wins,note
1,F1_product_navigator,claude,synthetic,1,compliance,brief_vs_none,0.975,0.0,0.975,40,1,
2,F1_product_navigator,claude,synthetic,1,recall,brief_vs_none,1.0,0.0,1.0,40,1,
3,F1_product_navigator,claude,synthetic,1,precision,brief_vs_none,0.1518,0.0,0.1518,40,1,
4,F1_product_navigator,claude,synthetic,1,merge_ready,brief_vs_none,0.975,0.0,0.975,40,1,
5,F1_product_navigator,claude,synthetic,1,chain_recovery,brief_vs_none,1.0,0.0,1.0,40,1,
6,F1_product_navigator,claude,synthetic,1,return_on_tokens,brief_vs_none,0.8326,0.0,0.8326,40,1,
7,F1_product_navigator,claude,synthetic,2,compliance,brief_vs_none,1.0,0.0,1.0,40,1,
8,F1_product_navigator,claude,synthetic,2,recall,brief_vs_none,1.0,0.0,1.0,40,1,
9,F1_product_navigator,claude,synthetic,2,precision,brief_vs_none,0.1607,0.0,0.1607,40,1,
10,F1_product_navigator,claude,synthetic,2,merge_ready,brief_vs_none,0.975,0.0,0.975,40,1,
11,F1_product_navigator,claude,synthetic,2,chain_recovery,brief_vs_none,1.0,0.0,1.0,40,1,
12,F1_product_navigator,claude,synthetic,2,return_on_tokens,brief_vs_none,0.847,0.0,0.847,40,1,
13,F1_product_navigator,claude,synthetic,3,compliance,brief_vs_none,1.0,0.0,1.0,40,1,
14,F1_product_navigator,claude,synthetic,3,recall,brief_vs_none,1.0,0.0,1.0,40,1,
15,F1_product_navigator,claude,synthetic,3,precision,brief_vs_none,0.1605,0.0,0.1605,40,1,
16,F1_product_navigator,claude,synthetic,3,merge_ready,brief_vs_none,0.975,0.0,0.975,40,1,
17,F1_product_navigator,claude,synthetic,3,chain_recovery,brief_vs_none,1.0,0.0,1.0,40,1,
18,F1_product_navigator,claude,synthetic,3,return_on_tokens,brief_vs_none,0.8557,0.0,0.8557,40,1,
19,F1_product_navigator,claude,synthetic,ALL,compliance,brief_vs_none,0.9917,0.0,0.9917,120,1,
20,F1_product_navigator,claude,synthetic,ALL,recall,brief_vs_none,1.0,0.0,1.0,120,1,
21,F1_product_navigator,claude,synthetic,ALL,precision,brief_vs_none,0.1577,0.0,0.1577,120,1,
22,F1_product_navigator,claude,synthetic,ALL,merge_ready,brief_vs_none,0.975,0.0,0.975,120,1,
23,F1_product_navigator,claude,synthetic,ALL,chain_recovery,brief_vs_none,1.0,0.0,1.0,120,1,
24,F1_product_navigator,claude,synthetic,ALL,return_on_tokens,brief_vs_none,0.8451,0.0,0.8451,120,1,
25,F1_product_navigator,claude,dcbench,1,compliance,brief_vs_none,0.5,0.4643,0.0357,14,1,
26,F1_product_navigator,claude,dcbench,1,recall,brief_vs_none,1.0,0.0,1.0,14,1,
27,F1_product_navigator,claude,dcbench,1,precision,brief_vs_none,0.6786,0.0,0.6786,14,1,
28,F1_product_navigator,claude,dcbench,1,merge_ready,brief_vs_none,0.2143,0.1429,0.0714,14,1,
29,F1_product_navigator,claude,dcbench,1,chain_recovery,brief_vs_none,1.0,0.0,1.0,14,1,
30,F1_product_navigator,claude,dcbench,1,return_on_tokens,brief_vs_none,0.3653,0.4312,-0.0659,14,0,
31,F1_product_navigator,claude,dcbench,2,compliance,brief_vs_none,0.2619,0.0,0.2619,14,1,
