bucket,metric,definition,system,value,tier,note
1_retrieval_quality,recall@synthetic,recall on synthetic,Brief,1.0,measured,claude/synthetic/d=all
1_retrieval_quality,recall@synthetic,recall on synthetic,dense (best baseline),0.8417,measured,claude/synthetic/d=all
1_retrieval_quality,recall@synthetic,recall on synthetic,BM25,0.9,measured,claude/synthetic/d=all
1_retrieval_quality,recall@synthetic,recall on synthetic,none (no context),0.0,measured,claude/synthetic/d=all
1_retrieval_quality,recall@synthetic,recall on synthetic,random_context,,measured,claude/synthetic/d=all
1_retrieval_quality,recall@dcbench,recall on dcbench,Brief,0.7698,measured,claude/dcbench/d=all
1_retrieval_quality,recall@dcbench,recall on dcbench,dense (best baseline),0.7817,measured,claude/dcbench/d=all
1_retrieval_quality,recall@dcbench,recall on dcbench,BM25,0.7421,measured,claude/dcbench/d=all
1_retrieval_quality,recall@dcbench,recall on dcbench,none (no context),0.0,measured,claude/dcbench/d=all
1_retrieval_quality,recall@dcbench,recall on dcbench,random_context,0.1984,measured,claude/dcbench/d=all
1_retrieval_quality,recall@swebench,recall on swebench,Brief,0.5556,measured,claude/swebench/d=all
1_retrieval_quality,recall@swebench,recall on swebench,dense (best baseline),0.5926,measured,claude/swebench/d=all
1_retrieval_quality,recall@swebench,recall on swebench,BM25,0.5185,measured,claude/swebench/d=all
1_retrieval_quality,recall@swebench,recall on swebench,none (no context),0.0,measured,claude/swebench/d=all
1_retrieval_quality,recall@swebench,recall on swebench,random_context,0.3704,measured,claude/swebench/d=all
1_retrieval_quality,recall@all,recall on all,Brief,0.8441,measured,claude/all/d=all
1_retrieval_quality,recall@all,recall on all,dense (best baseline),0.7677,measured,claude/all/d=all
1_retrieval_quality,recall@all,recall on all,BM25,0.7739,measured,claude/all/d=all
1_retrieval_quality,recall@all,recall on all,none (no context),0.0,measured,claude/all/d=all
1_retrieval_quality,recall@all,recall on all,random_context,0.2951,measured,claude/all/d=all
1_retrieval_quality,precision@synthetic,precision on synthetic,Brief,0.1577,measured,claude/synthetic/d=all
1_retrieval_quality,precision@synthetic,precision on synthetic,dense (best baseline),0.1171,measured,claude/synthetic/d=all
1_retrieval_quality,precision@synthetic,precision on synthetic,BM25,0.1213,measured,claude/synthetic/d=all
1_retrieval_quality,precision@synthetic,precision on synthetic,none (no context),0.0,measured,claude/synthetic/d=all
1_retrieval_quality,precision@synthetic,precision on synthetic,random_context,,measured,claude/synthetic/d=all
1_retrieval_quality,precision@dcbench,precision on dcbench,Brief,0.4397,measured,claude/dcbench/d=all
1_retrieval_quality,precision@dcbench,precision on dcbench,dense (best baseline),0.4331,measured,claude/dcbench/d=all
1_retrieval_quality,precision@dcbench,precision on dcbench,BM25,0.4092,measured,claude/dcbench/d=all
1_retrieval_quality,precision@dcbench,precision on dcbench,none (no context),0.0,measured,claude/dcbench/d=all
1_retrieval_quality,precision@dcbench,precision on dcbench,random_context,0.1224,measured,claude/dcbench/d=all
1_retrieval_quality,precision@swebench,precision on swebench,Brief,0.2405,measured,claude/swebench/d=all
1_retrieval_quality,precision@swebench,precision on swebench,dense (best baseline),0.24,measured,claude/swebench/d=all
1_retrieval_quality,precision@swebench,precision on swebench,BM25,0.2423,measured,claude/swebench/d=all
1_retrieval_quality,precision@swebench,precision on swebench,none (no context),0.0,measured,claude/swebench/d=all
1_retrieval_quality,precision@swebench,precision on swebench,random_context,0.1944,measured,claude/swebench/d=all
1_retrieval_quality,precision@all,precision on all,Brief,0.2332,measured,claude/all/d=all
1_retrieval_quality,precision@all,precision on all,dense (best baseline),0.2093,measured,claude/all/d=all
1_retrieval_quality,precision@all,precision on all,BM25,0.2075,measured,claude/all/d=all
1_retrieval_quality,precision@all,precision on all,none (no context),0.0,measured,claude/all/d=all
1_retrieval_quality,precision@all,precision on all,random_context,0.1629,measured,claude/all/d=all
1_retrieval_quality,f1@synthetic,f1 on synthetic,Brief,0.2721,measured,claude/synthetic/d=all
1_retrieval_quality,f1@synthetic,f1 on synthetic,dense (best baseline),0.2055,measured,claude/synthetic/d=all
1_retrieval_quality,f1@synthetic,f1 on synthetic,BM25,0.2137,measured,claude/synthetic/d=all
1_retrieval_quality,f1@synthetic,f1 on synthetic,none (no context),0.0,measured,claude/synthetic/d=all
1_retrieval_quality,f1@synthetic,f1 on synthetic,random_context,,measured,claude/synthetic/d=all
1_retrieval_quality,f1@dcbench,f1 on dcbench,Brief,0.5341,measured,claude/dcbench/d=all
1_retrieval_quality,f1@dcbench,f1 on dcbench,dense (best baseline),0.5283,measured,claude/dcbench/d=all
1_retrieval_quality,f1@dcbench,f1 on dcbench,BM25,0.5041,measured,claude/dcbench/d=all
1_retrieval_quality,f1@dcbench,f1 on dcbench,none (no context),0.0,measured,claude/dcbench/d=all
1_retrieval_quality,f1@dcbench,f1 on dcbench,random_context,0.146,measured,claude/dcbench/d=all
1_retrieval_quality,f1@swebench,f1 on swebench,Brief,0.314,measured,claude/swebench/d=all
1_retrieval_quality,f1@swebench,f1 on swebench,dense (best baseline),0.3144,measured,claude/swebench/d=all
1_retrieval_quality,f1@swebench,f1 on swebench,BM25,0.3076,measured,claude/swebench/d=all
1_retrieval_quality,f1@swebench,f1 on swebench,none (no context),0.0,measured,claude/swebench/d=all
1_retrieval_quality,f1@swebench,f1 on swebench,random_context,0.2298,measured,claude/swebench/d=all
1_retrieval_quality,f1@all,f1 on all,Brief,0.3335,measured,claude/all/d=all
1_retrieval_quality,f1@all,f1 on all,dense (best baseline),0.2955,measured,claude/all/d=all
1_retrieval_quality,f1@all,f1 on all,BM25,0.2936,measured,claude/all/d=all
1_retrieval_quality,f1@all,f1 on all,none (no context),0.0,measured,claude/all/d=all
1_retrieval_quality,f1@all,f1 on all,random_context,0.1932,measured,claude/all/d=all
1_retrieval_quality,hit_rate@d3_synthetic,≥1 governing node retrieved,Brief,1.0,measured,claude/synthetic/d=3
1_retrieval_quality,hit_rate@d3_synthetic,≥1 governing node retrieved,dense (best baseline),0.675,measured,claude/synthetic/d=3
1_retrieval_quality,hit_rate@d3_synthetic,≥1 governing node retrieved,BM25,0.7,measured,claude/synthetic/d=3
1_retrieval_quality,hit_rate@d3_synthetic,≥1 governing node retrieved,none (no context),0.0,measured,claude/synthetic/d=3
1_retrieval_quality,hit_rate@d3_synthetic,≥1 governing node retrieved,random_context,,measured,claude/synthetic/d=3
1_retrieval_quality,recall@d3_dcbench,deep recall on dcbench,Brief,0.6667,measured,claude/dcbench/d=3
1_retrieval_quality,recall@d3_dcbench,deep recall on dcbench,dense (best baseline),0.7024,measured,claude/dcbench/d=3
1_retrieval_quality,recall@d3_dcbench,deep recall on dcbench,BM25,0.5952,measured,claude/dcbench/d=3
1_retrieval_quality,recall@d3_dcbench,deep recall on dcbench,none (no context),0.0,measured,claude/dcbench/d=3
1_retrieval_quality,recall@d3_dcbench,deep recall on dcbench,random_context,0.1548,measured,claude/dcbench/d=3
1_retrieval_quality,precision@d3_dcbench,deep precision dcbench,Brief,0.2238,measured,claude/dcbench/d=3
1_retrieval_quality,precision@d3_dcbench,deep precision dcbench,dense (best baseline),0.2041,measured,claude/dcbench/d=3
1_retrieval_quality,precision@d3_dcbench,deep precision dcbench,BM25,0.1799,measured,claude/dcbench/d=3
1_retrieval_quality,precision@d3_dcbench,deep precision dcbench,none (no context),0.0,measured,claude/dcbench/d=3
1_retrieval_quality,precision@d3_dcbench,deep precision dcbench,random_context,0.0578,measured,claude/dcbench/d=3
2_task_outcome,compliance@synthetic,compliance on synthetic,Brief,0.9917,measured,claude/synthetic/d=all
2_task_outcome,compliance@synthetic,compliance on synthetic,dense (best baseline),0.825,measured,claude/synthetic/d=all
2_task_outcome,compliance@synthetic,compliance on synthetic,BM25,0.8917,measured,claude/synthetic/d=all
2_task_outcome,compliance@synthetic,compliance on synthetic,none (no context),0.0,measured,claude/synthetic/d=all
2_task_outcome,compliance@synthetic,compliance on synthetic,random_context,,measured,claude/synthetic/d=all
2_task_outcome,compliance@dcbench,compliance on dcbench,Brief,0.3571,measured,claude/dcbench/d=all
2_task_outcome,compliance@dcbench,compliance on dcbench,dense (best baseline),0.3452,measured,claude/dcbench/d=all
2_task_outcome,compliance@dcbench,compliance on dcbench,BM25,0.3651,measured,claude/dcbench/d=all
2_task_outcome,compliance@dcbench,compliance on dcbench,none (no context),0.1627,measured,claude/dcbench/d=all
2_task_outcome,compliance@dcbench,compliance on dcbench,random_context,0.2222,measured,claude/dcbench/d=all
2_task_outcome,compliance@swebench,compliance on swebench,Brief,0.3333,measured,claude/swebench/d=all
2_task_outcome,compliance@swebench,compliance on swebench,dense (best baseline),0.3519,measured,claude/swebench/d=all
2_task_outcome,compliance@swebench,compliance on swebench,BM25,0.3148,measured,claude/swebench/d=all
2_task_outcome,compliance@swebench,compliance on swebench,none (no context),0.2037,measured,claude/swebench/d=all
2_task_outcome,compliance@swebench,compliance on swebench,random_context,0.3333,measured,claude/swebench/d=all
2_task_outcome,compliance@all,compliance on all,Brief,0.7037,measured,claude/all/d=all
2_task_outcome,compliance@all,compliance on all,dense (best baseline),0.6134,measured,claude/all/d=all
2_task_outcome,compliance@all,compliance on all,BM25,0.6451,measured,claude/all/d=all
2_task_outcome,compliance@all,compliance on all,none (no context),0.0826,measured,claude/all/d=all
2_task_outcome,compliance@all,compliance on all,random_context,0.2847,measured,claude/all/d=all
2_task_outcome,merge_ready@synthetic,merge_ready on synthetic,Brief,0.975,measured,claude/synthetic/d=all
2_task_outcome,merge_ready@synthetic,merge_ready on synthetic,dense (best baseline),0.8,measured,claude/synthetic/d=all
2_task_outcome,merge_ready@synthetic,merge_ready on synthetic,BM25,0.85,measured,claude/synthetic/d=all
2_task_outcome,merge_ready@synthetic,merge_ready on synthetic,none (no context),0.0,measured,claude/synthetic/d=all
2_task_outcome,merge_ready@synthetic,merge_ready on synthetic,random_context,,measured,claude/synthetic/d=all
2_task_outcome,merge_ready@dcbench,merge_ready on dcbench,Brief,0.1667,measured,claude/dcbench/d=all
2_task_outcome,merge_ready@dcbench,merge_ready on dcbench,dense (best baseline),0.1905,measured,claude/dcbench/d=all
2_task_outcome,merge_ready@dcbench,merge_ready on dcbench,BM25,0.1905,measured,claude/dcbench/d=all
2_task_outcome,merge_ready@dcbench,merge_ready on dcbench,none (no context),0.0476,measured,claude/dcbench/d=all
2_task_outcome,merge_ready@dcbench,merge_ready on dcbench,random_context,0.0714,measured,claude/dcbench/d=all
2_task_outcome,merge_ready@swebench,merge_ready on swebench,Brief,0.3333,measured,claude/swebench/d=all
2_task_outcome,merge_ready@swebench,merge_ready on swebench,dense (best baseline),0.3519,measured,claude/swebench/d=all
2_task_outcome,merge_ready@swebench,merge_ready on swebench,BM25,0.3148,measured,claude/swebench/d=all
2_task_outcome,merge_ready@swebench,merge_ready on swebench,none (no context),0.2037,measured,claude/swebench/d=all
2_task_outcome,merge_ready@swebench,merge_ready on swebench,random_context,0.3333,measured,claude/swebench/d=all
2_task_outcome,merge_ready@all,merge_ready on all,Brief,0.6574,measured,claude/all/d=all
2_task_outcome,merge_ready@all,merge_ready on all,dense (best baseline),0.5694,measured,claude/all/d=all
2_task_outcome,merge_ready@all,merge_ready on all,BM25,0.588,measured,claude/all/d=all
2_task_outcome,merge_ready@all,merge_ready on all,none (no context),0.0602,measured,claude/all/d=all
2_task_outcome,merge_ready@all,merge_ready on all,random_context,0.2188,measured,claude/all/d=all
2_task_outcome,chain_recovery@synthetic,chain_recovery on synthetic,Brief,1.0,measured,claude/synthetic/d=all
2_task_outcome,chain_recovery@synthetic,chain_recovery on synthetic,dense (best baseline),0.8417,measured,claude/synthetic/d=all
2_task_outcome,chain_recovery@synthetic,chain_recovery on synthetic,BM25,0.9,measured,claude/synthetic/d=all
2_task_outcome,chain_recovery@synthetic,chain_recovery on synthetic,none (no context),0.0,measured,claude/synthetic/d=all
2_task_outcome,chain_recovery@synthetic,chain_recovery on synthetic,random_context,,measured,claude/synthetic/d=all
2_task_outcome,chain_recovery@dcbench,chain_recovery on dcbench,Brief,0.5476,measured,claude/dcbench/d=all
2_task_outcome,chain_recovery@dcbench,chain_recovery on dcbench,dense (best baseline),0.5714,measured,claude/dcbench/d=all
2_task_outcome,chain_recovery@dcbench,chain_recovery on dcbench,BM25,0.5238,measured,claude/dcbench/d=all
2_task_outcome,chain_recovery@dcbench,chain_recovery on dcbench,none (no context),0.0,measured,claude/dcbench/d=all
2_task_outcome,chain_recovery@dcbench,chain_recovery on dcbench,random_context,0.0238,measured,claude/dcbench/d=all
2_task_outcome,chain_recovery@swebench,chain_recovery on swebench,Brief,0.5556,measured,claude/swebench/d=all
2_task_outcome,chain_recovery@swebench,chain_recovery on swebench,dense (best baseline),0.5926,measured,claude/swebench/d=all
2_task_outcome,chain_recovery@swebench,chain_recovery on swebench,BM25,0.5185,measured,claude/swebench/d=all
2_task_outcome,chain_recovery@swebench,chain_recovery on swebench,none (no context),0.0,measured,claude/swebench/d=all
2_task_outcome,chain_recovery@swebench,chain_recovery on swebench,random_context,0.3704,measured,claude/swebench/d=all
2_task_outcome,chain_recovery@all,chain_recovery on all,Brief,0.8009,measured,claude/all/d=all
2_task_outcome,chain_recovery@all,chain_recovery on all,dense (best baseline),0.7269,measured,claude/all/d=all
2_task_outcome,chain_recovery@all,chain_recovery on all,BM25,0.7315,measured,claude/all/d=all
2_task_outcome,chain_recovery@all,chain_recovery on all,none (no context),0.0,measured,claude/all/d=all
2_task_outcome,chain_recovery@all,chain_recovery on all,random_context,0.2188,measured,claude/all/d=all
2_task_outcome,compliance@d1,compliance at depth 1 (all ds),Brief,0.7467,measured,claude/all/d=1
2_task_outcome,compliance@d1,compliance at depth 1 (all ds),dense (best baseline),0.6867,measured,claude/all/d=1
2_task_outcome,compliance@d1,compliance at depth 1 (all ds),BM25,0.7,measured,claude/all/d=1
2_task_outcome,compliance@d1,compliance at depth 1 (all ds),none (no context),0.1667,measured,claude/all/d=1
2_task_outcome,compliance@d1,compliance at depth 1 (all ds),random_context,0.3857,measured,claude/all/d=1
2_task_outcome,compliance@d2,compliance at depth 2 (all ds),Brief,0.6489,measured,claude/all/d=2
2_task_outcome,compliance@d2,compliance at depth 2 (all ds),dense (best baseline),0.6044,measured,claude/all/d=2
2_task_outcome,compliance@d2,compliance at depth 2 (all ds),BM25,0.6689,measured,claude/all/d=2
2_task_outcome,compliance@d2,compliance at depth 2 (all ds),none (no context),0.0667,measured,claude/all/d=2
2_task_outcome,compliance@d2,compliance at depth 2 (all ds),random_context,0.2143,measured,claude/all/d=2
2_task_outcome,compliance@d3,compliance at depth 3 (all ds),Brief,0.7172,measured,claude/all/d=3
2_task_outcome,compliance@d3,compliance at depth 3 (all ds),dense (best baseline),0.5404,measured,claude/all/d=3
2_task_outcome,compliance@d3,compliance at depth 3 (all ds),BM25,0.5556,measured,claude/all/d=3
2_task_outcome,compliance@d3,compliance at depth 3 (all ds),none (no context),0.0051,measured,claude/all/d=3
2_task_outcome,compliance@d3,compliance at depth 3 (all ds),random_context,0.2436,measured,claude/all/d=3
3_token_economics,tokens_per_query@synthetic,tokens_per_query on synthetic,Brief,1175.6,measured,claude/synthetic/d=all
3_token_economics,tokens_per_query@synthetic,tokens_per_query on synthetic,dense (best baseline),1179.65,measured,claude/synthetic/d=all
3_token_economics,tokens_per_query@synthetic,tokens_per_query on synthetic,BM25,1177.7583,measured,claude/synthetic/d=all
3_token_economics,tokens_per_query@synthetic,tokens_per_query on synthetic,none (no context),1065.4,measured,claude/synthetic/d=all
3_token_economics,tokens_per_query@synthetic,tokens_per_query on synthetic,random_context,,measured,claude/synthetic/d=all
3_token_economics,tokens_per_query@dcbench,tokens_per_query on dcbench,Brief,1304.4048,measured,claude/dcbench/d=all
3_token_economics,tokens_per_query@dcbench,tokens_per_query on dcbench,dense (best baseline),1313.1429,measured,claude/dcbench/d=all
3_token_economics,tokens_per_query@dcbench,tokens_per_query on dcbench,BM25,1318.7857,measured,claude/dcbench/d=all
3_token_economics,tokens_per_query@dcbench,tokens_per_query on dcbench,none (no context),1103.6429,measured,claude/dcbench/d=all
3_token_economics,tokens_per_query@dcbench,tokens_per_query on dcbench,random_context,1315.881,measured,claude/dcbench/d=all
3_token_economics,tokens_per_query@swebench,tokens_per_query on swebench,Brief,1929.1296,measured,claude/swebench/d=all
3_token_economics,tokens_per_query@swebench,tokens_per_query on swebench,dense (best baseline),1954.2037,measured,claude/swebench/d=all
3_token_economics,tokens_per_query@swebench,tokens_per_query on swebench,BM25,1959.7963,measured,claude/swebench/d=all
3_token_economics,tokens_per_query@swebench,tokens_per_query on swebench,none (no context),1731.1667,measured,claude/swebench/d=all
3_token_economics,tokens_per_query@swebench,tokens_per_query on swebench,random_context,1941.1481,measured,claude/swebench/d=all
3_token_economics,tokens_per_query@all,tokens_per_query on all,Brief,1389.0278,measured,claude/all/d=all
3_token_economics,tokens_per_query@all,tokens_per_query on all,dense (best baseline),1399.2454,measured,claude/all/d=all
3_token_economics,tokens_per_query@all,tokens_per_query on all,BM25,1400.6898,measured,claude/all/d=all
3_token_economics,tokens_per_query@all,tokens_per_query on all,none (no context),1239.2778,measured,claude/all/d=all
3_token_economics,tokens_per_query@all,tokens_per_query on all,random_context,1667.5938,measured,claude/all/d=all
3_token_economics,return_on_tokens@synthetic,return_on_tokens on synthetic,Brief,0.8451,measured,claude/synthetic/d=all
3_token_economics,return_on_tokens@synthetic,return_on_tokens on synthetic,dense (best baseline),0.6989,measured,claude/synthetic/d=all
3_token_economics,return_on_tokens@synthetic,return_on_tokens on synthetic,BM25,0.7566,measured,claude/synthetic/d=all
3_token_economics,return_on_tokens@synthetic,return_on_tokens on synthetic,none (no context),0.0,measured,claude/synthetic/d=all
3_token_economics,return_on_tokens@synthetic,return_on_tokens on synthetic,random_context,,measured,claude/synthetic/d=all
3_token_economics,return_on_tokens@dcbench,return_on_tokens on dcbench,Brief,0.2709,measured,claude/dcbench/d=all
3_token_economics,return_on_tokens@dcbench,return_on_tokens on dcbench,dense (best baseline),0.26,measured,claude/dcbench/d=all
3_token_economics,return_on_tokens@dcbench,return_on_tokens on dcbench,BM25,0.2751,measured,claude/dcbench/d=all
3_token_economics,return_on_tokens@dcbench,return_on_tokens on dcbench,none (no context),0.151,measured,claude/dcbench/d=all
3_token_economics,return_on_tokens@dcbench,return_on_tokens on dcbench,random_context,0.1654,measured,claude/dcbench/d=all
3_token_economics,return_on_tokens@swebench,return_on_tokens on swebench,Brief,0.2012,measured,claude/swebench/d=all
3_token_economics,return_on_tokens@swebench,return_on_tokens on swebench,dense (best baseline),0.2286,measured,claude/swebench/d=all
3_token_economics,return_on_tokens@swebench,return_on_tokens on swebench,BM25,0.1904,measured,claude/swebench/d=all
3_token_economics,return_on_tokens@swebench,return_on_tokens on swebench,none (no context),0.1362,measured,claude/swebench/d=all
3_token_economics,return_on_tokens@swebench,return_on_tokens on swebench,random_context,0.2076,measured,claude/swebench/d=all
3_token_economics,return_on_tokens@all,return_on_tokens on all,Brief,0.5725,measured,claude/all/d=all
3_token_economics,return_on_tokens@all,return_on_tokens on all,dense (best baseline),0.496,measured,claude/all/d=all
3_token_economics,return_on_tokens@all,return_on_tokens on all,BM25,0.5214,measured,claude/all/d=all
3_token_economics,return_on_tokens@all,return_on_tokens on all,none (no context),0.0634,measured,claude/all/d=all
3_token_economics,return_on_tokens@all,return_on_tokens on all,random_context,0.1891,measured,claude/all/d=all
3_token_economics,rot@d1,return on tokens depth 1,Brief,0.5903,measured,claude/all/d=1
3_token_economics,rot@d1,return on tokens depth 1,dense (best baseline),0.5506,measured,claude/all/d=1
3_token_economics,rot@d1,return on tokens depth 1,BM25,0.5584,measured,claude/all/d=1
3_token_economics,rot@d1,return on tokens depth 1,none (no context),0.1303,measured,claude/all/d=1
3_token_economics,rot@d1,return on tokens depth 1,random_context,0.2511,measured,claude/all/d=1
3_token_economics,rot@d2,return on tokens depth 2,Brief,0.5336,measured,claude/all/d=2
3_token_economics,rot@d2,return on tokens depth 2,dense (best baseline),0.4925,measured,claude/all/d=2
3_token_economics,rot@d2,return on tokens depth 2,BM25,0.5465,measured,claude/all/d=2
3_token_economics,rot@d2,return on tokens depth 2,none (no context),0.0483,measured,claude/all/d=2
3_token_economics,rot@d2,return on tokens depth 2,random_context,0.1359,measured,claude/all/d=2
3_token_economics,rot@d3,return on tokens depth 3,Brief,0.5965,measured,claude/all/d=3
3_token_economics,rot@d3,return on tokens depth 3,dense (best baseline),0.438,measured,claude/all/d=3
3_token_economics,rot@d3,return on tokens depth 3,BM25,0.4509,measured,claude/all/d=3
3_token_economics,rot@d3,return on tokens depth 3,none (no context),0.0046,measured,claude/all/d=3
3_token_economics,rot@d3,return on tokens depth 3,random_context,0.1774,measured,claude/all/d=3
3_token_economics,tokens_per_retrieval,avg tokens/retrieval (published),Mem0,7000,vendor,"<7k, arXiv:2504.19413"
3_token_economics,tokens_per_response,tokens/response (published),Zep,1600,vendor,1.6k vs 115k full-ctx
4_depth_robustness,compliance_synthetic_d1,compliance synthetic d1,Brief,0.975,measured,claude/synthetic/d=1
4_depth_robustness,compliance_synthetic_d1,compliance synthetic d1,dense (best baseline),0.925,measured,claude/synthetic/d=1
4_depth_robustness,compliance_synthetic_d1,compliance synthetic d1,BM25,0.975,measured,claude/synthetic/d=1
4_depth_robustness,compliance_synthetic_d1,compliance synthetic d1,none (no context),0.0,measured,claude/synthetic/d=1
4_depth_robustness,compliance_synthetic_d1,compliance synthetic d1,random_context,,measured,claude/synthetic/d=1
4_depth_robustness,compliance_synthetic_d2,compliance synthetic d2,Brief,1.0,measured,claude/synthetic/d=2
4_depth_robustness,compliance_synthetic_d2,compliance synthetic d2,dense (best baseline),0.875,measured,claude/synthetic/d=2
4_depth_robustness,compliance_synthetic_d2,compliance synthetic d2,BM25,1.0,measured,claude/synthetic/d=2
4_depth_robustness,compliance_synthetic_d2,compliance synthetic d2,none (no context),0.0,measured,claude/synthetic/d=2
4_depth_robustness,compliance_synthetic_d2,compliance synthetic d2,random_context,,measured,claude/synthetic/d=2
4_depth_robustness,compliance_synthetic_d3,compliance synthetic d3,Brief,1.0,measured,claude/synthetic/d=3
4_depth_robustness,compliance_synthetic_d3,compliance synthetic d3,dense (best baseline),0.675,measured,claude/synthetic/d=3
4_depth_robustness,compliance_synthetic_d3,compliance synthetic d3,BM25,0.7,measured,claude/synthetic/d=3
4_depth_robustness,compliance_synthetic_d3,compliance synthetic d3,none (no context),0.0,measured,claude/synthetic/d=3
4_depth_robustness,compliance_synthetic_d3,compliance synthetic d3,random_context,,measured,claude/synthetic/d=3
4_depth_robustness,compliance_dcbench_d1,compliance dcbench d1,Brief,0.5,measured,claude/dcbench/d=1
4_depth_robustness,compliance_dcbench_d1,compliance dcbench d1,dense (best baseline),0.4643,measured,claude/dcbench/d=1
4_depth_robustness,compliance_dcbench_d1,compliance dcbench d1,BM25,0.4643,measured,claude/dcbench/d=1
4_depth_robustness,compliance_dcbench_d1,compliance dcbench d1,none (no context),0.4643,measured,claude/dcbench/d=1
4_depth_robustness,compliance_dcbench_d1,compliance dcbench d1,random_context,0.4643,measured,claude/dcbench/d=1
4_depth_robustness,compliance_dcbench_d2,compliance dcbench d2,Brief,0.2619,measured,claude/dcbench/d=2
4_depth_robustness,compliance_dcbench_d2,compliance dcbench d2,dense (best baseline),0.2381,measured,claude/dcbench/d=2
4_depth_robustness,compliance_dcbench_d2,compliance dcbench d2,BM25,0.2976,measured,claude/dcbench/d=2
4_depth_robustness,compliance_dcbench_d2,compliance dcbench d2,none (no context),0.0,measured,claude/dcbench/d=2
4_depth_robustness,compliance_dcbench_d2,compliance dcbench d2,random_context,0.0357,measured,claude/dcbench/d=2
4_depth_robustness,compliance_dcbench_d3,compliance dcbench d3,Brief,0.3095,measured,claude/dcbench/d=3
4_depth_robustness,compliance_dcbench_d3,compliance dcbench d3,dense (best baseline),0.3333,measured,claude/dcbench/d=3
4_depth_robustness,compliance_dcbench_d3,compliance dcbench d3,BM25,0.3333,measured,claude/dcbench/d=3
4_depth_robustness,compliance_dcbench_d3,compliance dcbench d3,none (no context),0.0238,measured,claude/dcbench/d=3
4_depth_robustness,compliance_dcbench_d3,compliance dcbench d3,random_context,0.1667,measured,claude/dcbench/d=3
4_depth_robustness,compliance_swebench_d1,compliance swebench d1,Brief,0.4762,measured,claude/swebench/d=1
4_depth_robustness,compliance_swebench_d1,compliance swebench d1,dense (best baseline),0.381,measured,claude/swebench/d=1
4_depth_robustness,compliance_swebench_d1,compliance swebench d1,BM25,0.3333,measured,claude/swebench/d=1
4_depth_robustness,compliance_swebench_d1,compliance swebench d1,none (no context),0.2857,measured,claude/swebench/d=1
4_depth_robustness,compliance_swebench_d1,compliance swebench d1,random_context,0.3333,measured,claude/swebench/d=1
4_depth_robustness,compliance_swebench_d2,compliance swebench d2,Brief,0.2381,measured,claude/swebench/d=2
4_depth_robustness,compliance_swebench_d2,compliance swebench d2,dense (best baseline),0.3333,measured,claude/swebench/d=2
4_depth_robustness,compliance_swebench_d2,compliance swebench d2,BM25,0.2857,measured,claude/swebench/d=2
4_depth_robustness,compliance_swebench_d2,compliance swebench d2,none (no context),0.2381,measured,claude/swebench/d=2
4_depth_robustness,compliance_swebench_d2,compliance swebench d2,random_context,0.3333,measured,claude/swebench/d=2
4_depth_robustness,compliance_swebench_d3,compliance swebench d3,Brief,0.25,measured,claude/swebench/d=3
4_depth_robustness,compliance_swebench_d3,compliance swebench d3,dense (best baseline),0.3333,measured,claude/swebench/d=3
4_depth_robustness,compliance_swebench_d3,compliance swebench d3,BM25,0.3333,measured,claude/swebench/d=3
4_depth_robustness,compliance_swebench_d3,compliance swebench d3,none (no context),0.0,measured,claude/swebench/d=3
4_depth_robustness,compliance_swebench_d3,compliance swebench d3,random_context,0.3333,measured,claude/swebench/d=3
4_depth_robustness,depth_slope_synthetic,compliance d3 − d1 (less decay better),Brief,0.025,measured,synthetic
4_depth_robustness,depth_slope_synthetic,compliance d3 − d1 (less decay better),dense (best baseline),-0.25,measured,synthetic
4_depth_robustness,depth_slope_dcbench,compliance d3 − d1 (less decay better),Brief,-0.1905,measured,dcbench
4_depth_robustness,depth_slope_dcbench,compliance d3 − d1 (less decay better),dense (best baseline),-0.131,measured,dcbench
5_context_management,precision_as_signal_density@synthetic,fraction of context on-target,Brief,0.1577,measured,claude/synthetic/d=all
5_context_management,precision_as_signal_density@synthetic,fraction of context on-target,dense (best baseline),0.1171,measured,claude/synthetic/d=all
5_context_management,precision_as_signal_density@synthetic,fraction of context on-target,BM25,0.1213,measured,claude/synthetic/d=all
5_context_management,precision_as_signal_density@synthetic,fraction of context on-target,none (no context),0.0,measured,claude/synthetic/d=all
5_context_management,precision_as_signal_density@synthetic,fraction of context on-target,random_context,,measured,claude/synthetic/d=all
5_context_management,precision_as_signal_density@dcbench,fraction of context on-target,Brief,0.4397,measured,claude/dcbench/d=all
5_context_management,precision_as_signal_density@dcbench,fraction of context on-target,dense (best baseline),0.4331,measured,claude/dcbench/d=all
5_context_management,precision_as_signal_density@dcbench,fraction of context on-target,BM25,0.4092,measured,claude/dcbench/d=all
5_context_management,precision_as_signal_density@dcbench,fraction of context on-target,none (no context),0.0,measured,claude/dcbench/d=all
5_context_management,precision_as_signal_density@dcbench,fraction of context on-target,random_context,0.1224,measured,claude/dcbench/d=all
